"PVWatts Hourly PV Performance Data"
"Requested Location","47.14817909516576, -71.26903775539678"
"Location","Lat, Lng: 47.13, -71.26"
"Latitude (DD)","47.13"
"Longitude (DD)","-71.26"
"Elevation (m)","647.84997558594"
"DC System Size (kW)","496.3"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","7","18","0","0","-10","1.7","0.87","0","-10","0","0"
"1","7","19","0","0","-11","1.7","0.87","0","-11","0","0"
"1","7","20","0","0","-11","1.7","0.87","0","-11","0","0"
"1","7","21","0","0","-11","1.7","0.87","0","-11","0","0"
"1","7","22","0","0","-11","1.7","0.87","0","-11","0","0"
"1","7","23","0","0","-11","1.6","0.87","0","-11","0","0"
"1","8","0","0","0","-10","1.7","0.87","0","-10","0","0"
"1","8","1","0","0","-10","1.8","0.87","0","-10","0","0"
"1","8","2","0","0","-10","1.9","0.87","0","-10","0","0"
"1","8","3","0","0","-10","2","0.87","0","-10","0","0"
"1","8","4","0","0","-10","2","0.87","0","-10","0","0"
"1","8","5","0","0","-10","2","0.87","0","-10","0","0"
"1","8","6","0","0","-10","2.1","0.87","0","-10","0","0"
"1","8","7","0","0","-10","2.2","0.87","0","-10","0","0"
"1","8","8","22","43","-10","2.3","0.87","53.631","-8.783","23210.638","20421.076"
"1","8","9","0","69","-9","2.2","0.87","67.728","-7.416","30564.974","27514.819"
"1","8","10","0","63","-9","2.3","0.87","59.515","-7.634","26802.006","23885.188"
"1","8","11","14","130","-9","2.5","0.87","140.758","-5.887","64815.615","60551.824"
"1","8","12","5","123","-9","2.6","0.87","127.123","-6.24","58378.212","54342.524"
"1","8","13","83","121","-9","2.6","0.87","180.288","-5.076","84068.603","79122.602"
"1","8","14","0","57","-9","2.6","0.87","55.38","-7.799","24770.438","21925.607"
"1","8","15","0","18","-9","2.8","0.87","16.968","-8.654","6645.419","4442.829"
"1","8","16","0","0","-10","3","0.87","0","-10","0","0"
"1","8","17","0","0","-10","3.1","0.87","0","-10","0","0"
"1","8","18","0","0","-10","3.1","0.87","0","-10","0","0"
"1","8","19","0","0","-10","3.2","0.87","0","-10","0","0"
"1","8","20","0","0","-10","3.3","0.87","0","-10","0","0"
"1","8","21","0","0","-10","3.3","0.87","0","-10","0","0"
"1","8","22","0","0","-10","3.2","0.87","0","-10","0","0"
"1","8","23","0","0","-9","3.1","0.87","0","-9","0","0"
"1","9","0","0","0","-9","3.2","0.87","0","-9","0","0"
"1","9","1","0","0","-9","3.3","0.87","0","-9","0","0"
"1","9","2","0","0","-9","3.1","0.87","0","-9","0","0"
"1","9","3","0","0","-9","2.9","0.87","0","-9","0","0"
"1","9","4","0","0","-9","3","0.87","0","-9","0","0"
"1","9","5","0","0","-9","3.3","0.87","0","-9","0","0"
"1","9","6","0","0","-10","3.3","0.87","0","-10","0","0"
"1","9","7","0","0","-10","3","0.87","0","-10","0","0"
"1","9","8","0","31","-11","3","0.87","29.33","-10.412","12570.448","10157.911"
"1","9","9","0","71","-10","3.1","0.87","69.908","-8.609","31728.358","28636.98"
"1","9","10","0","102","-10","3.2","0.87","101.438","-8.013","46570.965","42953.654"
"1","9","11","0","116","-9","3.3","0.87","115.551","-6.774","52945.37","49102.189"
"1","9","12","0","63","-9","3.4","0.87","59.511","-7.872","26789.485","23873.111"
"1","9","13","0","51","-9","3.4","0.87","48.146","-8.087","21565.003","18833.753"
"1","9","14","0","32","-9","3.3","0.87","30.176","-8.419","13240.56","10804.278"
"1","9","15","0","10","-9","3.1","0.87","9.412","-8.817","3641.25","1545.11"
"1","9","16","0","0","-8","3","0.87","0","-8","0","0"
"1","9","17","0","0","-8","3.1","0.87","0","-8","0","0"
"1","9","18","0","0","-8","3","0.87","0","-8","0","0"
"1","9","19","0","0","-8","2.7","0.87","0","-8","0","0"
"1","9","20","0","0","-8","2.4","0.87","0","-8","0","0"
"1","9","21","0","0","-8","2.1","0.87","0","-8","0","0"
"1","9","22","0","0","-8","2.1","0.87","0","-8","0","0"
"1","9","23","0","0","-8","1.9","0.87","0","-8","0","0"
"1","10","0","0","0","-8","1.5","0.87","0","-8","0","0"
"1","10","1","0","0","-8","1.1","0.87","0","-8","0","0"
"1","10","2","0","0","-8","0.7","0.87","0","-8","0","0"
"1","10","3","0","0","-8","0.6","0.87","0","-8","0","0"
"1","10","4","0","0","-7","0.7","0.87","0","-7","0","0"
"1","10","5","0","0","-7","1","0.87","0","-7","0","0"
"1","10","6","0","0","-8","1.1","0.87","0","-8","0","0"
"1","10","7","0","0","-8","1","0.87","0","0","0","0"
"1","10","8","0","15","-5","1.4","0.87","14.126","-4.612","5751.812","3580.886"
"1","10","9","0","33","-3","1.8","0.87","31.119","-2.211","13375.31","10934.254"
"1","10","10","0","65","-3","1.9","0.87","61.499","-1.472","27076.812","24150.257"
"1","10","11","0","64","-3","1.8","0.87","60.458","-1.467","26558.781","23650.582"
"1","10","12","0","70","-2","1.7","0.87","66.258","-0.283","29077.482","26080.035"
"1","10","13","105","125","-2","1.5","0.87","205.94","3.594","93523.317","88242.298"
"1","10","14","499","82","-2","1.3","0.87","343.304","7.761","155214.945","147747.946"
"1","10","15","234","43","-2","1.4","0.87","120.923","1.244","48149.555","44476.309"
"1","10","16","0","0","-2","1.6","0.87","0","-2","0","0"
"1","10","17","0","0","-3","1.8","0.87","0","-3","0","0"
"1","10","18","0","0","-2","2","0.87","0","-2","0","0"
"1","10","19","0","0","-2","2.1","0.87","0","-2","0","0"
"1","10","20","0","0","-2","2.2","0.87","0","-2","0","0"
"1","10","21","0","0","-2","2.4","0.87","0","-2","0","0"
"1","10","22","0","0","-3","2.7","0.87","0","-3","0","0"
"1","10","23","0","0","-3","3","0.87","0","-3","0","0"
"1","11","0","0","0","-4","3","0.87","0","-4","0","0"
"1","11","1","0","0","-5","2.8","0.87","0","-5","0","0"
"1","11","2","0","0","-6","2.4","0.87","0","-6","0","0"
"1","11","3","0","0","-7","2.2","0.87","0","-7","0","0"
"1","11","4","0","0","-7","2.3","0.87","0","-7","0","0"
"1","11","5","0","0","-8","2.4","0.87","0","-8","0","0"
"1","11","6","0","0","-8","2.3","0.87","0","-8","0","0"
"1","11","7","0","0","-9","2.3","0.87","0","0","0","0"
"1","11","8","408","50","-9","2.3","0.87","201.485","-4.451","87762.537","82685.645"
"1","11","9","250","89","-9","2.3","0.87","235.687","-3.569","110671.783","104783.126"
"1","11","10","45","127","-9","2.4","0.87","164.904","-5.28","76480.319","71803.201"
"1","11","11","305","139","-9","2.4","0.87","368.786","-0.659","173097.113","164996.478"
"1","11","12","0","94","-9","2.3","0.87","91.377","-6.904","41574.665","38134.394"
"1","11","13","40","120","-9","2.1","0.87","153.426","-5.333","71025.842","66541.998"
"1","11","14","304","75","-10","1.8","0.87","244.338","-3.787","114186.89","108173.679"
"1","11","15","368","39","-10","1.5","0.87","148.557","-6.108","60992.057","56863.75"
