Time,Outdoor temperature [deg. C],Outdoor relative humidity [%],T[degC]-Low-S1,T[degC]-Low-S2,T[degC]-Low-S3,T[degC]-Low-S4,T[degC]-Low-S5,T[degC]-Low-S6,T[degC]-Low-S7,T[degC]-Low-S8,T[degC]-Low-S9,T[degC]-Low-S10,T[degC]-Low-S11,T[degC]-Low-S12,T[degC]-Low-S13,T[degC]-Low-S14,T[degC]-Low-S15,T[degC]-Low-S16,T[degC]-Low-S17,T[degC]-Low-S18,T[degC]-Low-S19,T[degC]-Low-S20,T[degC]-Low-S21,T[degC]-Low-S22,T[degC]-Low-S23,T[degC]-Low-S24,T[degC]-Low-S25,T[degC]-Low-S26,T[degC]-Low-S27,T[degC]-Low-S28,T[degC]-Low-S29,T[degC]-Mid-S1,T[degC]-Mid-S2,T[degC]-Mid-S3,T[degC]-Mid-S4,T[degC]-Mid-S5,T[degC]-Mid-S6,T[degC]-Mid-S7,T[degC]-Mid-S8,T[degC]-Mid-S9,T[degC]-Mid-S10,T[degC]-Mid-S11,T[degC]-Mid-S12,T[degC]-Mid-S13,T[degC]-Mid-S14,T[degC]-Mid-S15,T[degC]-Mid-S16,T[degC]-Mid-S17,T[degC]-Mid-S18,T[degC]-Mid-S19,T[degC]-Mid-S20,T[degC]-Mid-S21,T[degC]-Mid-S22,T[degC]-Mid-S23,T[degC]-Mid-S24,T[degC]-Mid-S25,T[degC]-Mid-S26,T[degC]-Mid-S27,T[degC]-Mid-S28,T[degC]-Mid-S29,T[degC]-Top-S1,T[degC]-Top-S2,T[degC]-Top-S3,T[degC]-Top-S4,T[degC]-Top-S5,T[degC]-Top-S6,T[degC]-Top-S7,T[degC]-Top-S8,T[degC]-Top-S9,T[degC]-Top-S10,T[degC]-Top-S11,T[degC]-Top-S12,T[degC]-Top-S13,T[degC]-Top-S14,T[degC]-Top-S15,T[degC]-Top-S16,T[degC]-Top-S17,T[degC]-Top-S18,T[degC]-Top-S19,T[degC]-Top-S20,T[degC]-Top-S21,T[degC]-Top-S22,T[degC]-Top-S23,T[degC]-Top-S24,T[degC]-Top-S25,T[degC]-Top-S26,T[degC]-Top-S27,T[degC]-Top-S28,T[degC]-Top-S29
2023-12-21 13:00,-4.041666666666667,44.0,32.84258112833333,30.075443672,31.857408328333335,27.963361794666664,,19.629340339000002,30.331378907999998,,11.5187481148,10.342867266399999,20.269976621333335,6.109184625599999,6.782231022733333,6.7488521243,6.1575577428666675,4.611377478700001,6.898665651933333,6.128023689633333,5.815272234366666,,6.527927442733333,3.740269190833333,,,,0.4538430369666667,1.1692446867666668,0.7662278303333333,0.4025414808,34.66838142433333,36.557991938,42.24436554333333,31.787516219666667,26.789539705666666,26.004712329333334,31.86001575,,15.716290577666665,14.162247665,21.254675408333334,8.1077465269,11.495387589966667,6.728286417766667,11.501870067333334,5.5603209291,5.773619247233333,,10.142158249533333,6.249319670766667,11.410423919700001,5.2141055775666665,10.9710337298,,,0.5769617498666667,1.3603371805333333,0.3813339997333333,0.7454378467,35.16099297266667,37.033605634,44.701430298,32.336911515333334,30.162677362,28.083451641666667,32.927146645,,20.052401273,14.016296328000001,22.305930895666666,9.417600456066667,12.128707609000001,9.399574282866666,5.468184729666667,7.6814065002,7.615424104833334,9.105288464833334,12.9185843,7.914867566033333,14.292457302,8.068892186133333,11.73914993,1.2129756238,0.26777863883333336,1.0228682672333334,1.4895774959,0.0091952526,1.2252178463333332
2023-12-21 14:00,-4.735,45.93333333333333,32.690693847333335,30.353699713666668,31.53984012,27.958327963333332,,19.817295076,29.389279360333333,,11.039496338600001,9.794402604333333,19.611786574,5.830644334533333,6.351521815233334,5.7600575489,5.677871591333333,4.1746170284,5.7454651139,5.069440857033333,5.820430499333333,,6.042859501333334,3.6547583699666664,,,,0.47955217873333333,1.0342010679,0.6584741560333334,0.5666395408,34.21306288733333,35.894143512,41.71557579233333,31.84204275333333,26.169058764,24.997676373,30.780375253333332,,15.287194867333334,13.671697511333333,20.494140338666668,7.777775708366666,11.105807274766667,5.968394382533333,10.7828234923,5.258169773700001,4.476724828133333,,10.518964935766666,6.271300381033333,11.2229208878,4.967936725366667,10.638861094433334,,,0.5941995834,1.265059052,0.2359415653666667,0.7220097377,34.55221445166667,36.31163076066667,44.145783351666665,32.15974164866667,29.367727228333333,27.01113983633333,31.750684015,,19.257259157333333,13.181640845,21.508503793666666,8.9568220388,11.547808674,8.855272106433334,5.2390472489999995,7.2785313768,6.621083888966667,8.766764263299999,12.606423538,7.600605638,14.025798247333334,7.4580461501,11.509529751,1.3099584737999999,0.17179762289999997,1.0796484569333333,1.3717593622666666,-0.2686886249,1.0707020566666665
2023-12-21 15:00,-5.876666666666667,50.9,33.306999332000004,31.261602453000002,34.21344125166667,29.332133574666667,,20.755643210666666,30.425549129333334,,12.609801666666668,10.3475728023,19.526987550999998,6.1444718308,5.967691619166667,5.433296075966666,5.0977504195000005,3.8218472694666668,5.152102406166667,4.565474186733334,3.0013232657,,5.3602582176333335,2.119191123133333,,,,-1.9555184592000001,-1.1209341131,-1.5606595281666666,-1.8492215092666666,34.65993281066667,35.95082750466667,42.72977373333333,32.69679442233333,27.350836166333334,25.761726205333332,31.739568598666665,,16.329917353,14.267190585,20.488484843,7.882135757366667,10.510641561533333,5.534650649233333,10.724459384933335,4.717380606233333,3.9115957872,,8.2373971906,5.040005713733334,9.8694392692,3.6112338574666665,9.201340588266667,,,-1.8500808881,-0.9357112791333333,-1.9261814193666666,-1.5909301235333333,34.835256384666664,36.432367255,44.90260527633333,32.796881646,30.408611531333335,27.831703593,32.62903728933333,,19.510690546,13.674354527333332,21.515870693666667,8.797619912633333,11.106310177833333,8.288924660133334,4.954120248933333,6.670302539100001,6.2500388974000005,8.151180993999999,11.110737864133334,6.326336353133333,12.333966682,6.0791965478,9.831347587133333,-1.3677597395333334,-1.6416104883,-1.4158982708666665,-0.9563992763666668,-0.7810879035,-1.0682378664666667
2023-12-21 16:00,-7.131666666666666,55.45,33.907606102,32.068327698,34.606540988666666,30.181477103000002,,21.654069962666664,31.187728851,,12.862606615299999,11.315717693166667,19.852861605999998,6.4966642536000005,6.357502817533333,5.722070343633334,4.867777001533333,4.029464050833334,5.500468601133333,4.818030277233333,2.552498947133333,,5.606144795566666,1.8262490745666669,,,,-3.1461935862,-2.2742935148333334,-2.966932214666667,-3.2045115545666665,35.170759431,36.372433900000004,43.18566383966667,33.385705441333336,27.914476243000003,26.432869015666665,32.43220126566667,,16.917344930333332,14.684622238666666,20.90819239333333,8.424193401466667,11.122916534233333,5.650706437533333,10.9678091633,5.1086328388333335,4.310960937466667,,8.349473633866667,4.901748409266667,9.716950303099999,3.3506748658666665,8.8089357386,,,-3.0893451425333334,-2.0493051519,-3.2224500517,-2.9777903106666668,35.18031717666667,36.852801574666664,45.414066847,33.36008489233333,30.75353316933333,28.522302511,33.304073527999996,,20.059752003000003,13.980426285,21.897174979,9.2633928986,10.964863210666666,8.161641865833333,4.6634546015666665,7.3485341531,6.534202004366667,8.590305014933334,10.956215679466668,6.256410173833333,12.151730856999999,5.560699794233333,9.397739324133333,-2.5447106995,-3.138602757,-2.5989641895999998,-2.0727648139333334,-1.2921065144333332,-2.4052122136666667
2023-12-21 17:00,-8.038333333333334,58.45,33.08042958666667,31.064509523333335,33.014681129,28.841388709,,19.606881561,30.084311565,,11.446518552233332,9.724426949300002,18.73858071333333,4.9569630516,4.9499014535666666,4.452594519833334,4.090719737966666,2.7448838635333335,4.5603409133,3.4546519652666663,1.2260635020666666,,4.011771639633333,0.4962965355666667,,,,-4.0674311693,-3.1983782403666665,-3.9369070430999997,-4.225071898466667,34.401153496333336,35.64692098966667,42.08934139633333,32.15866810333333,26.766083377333334,25.329250722999998,31.407319732666668,,15.650805031,13.537023495,19.719609350666666,6.780306402366667,9.8354895871,4.299669092833333,10.120259210233334,3.5963035547333333,3.2445177414,,6.607067800266666,3.630511682233333,8.401507739733335,2.0201820035333333,7.626563227266667,,,-4.036656459333333,-2.9935394066333334,-3.938007224866667,-3.9495309487333334,34.381688183,36.110575712666666,44.38438101266667,32.249550539,29.999541474666668,27.557244342,32.33342088966666,,19.02607228,12.985025268,20.774198991,8.047211865133333,9.847305136433333,6.9485211621,4.463330423766666,5.8743207821,5.4859262329,7.232371687366666,9.6159304647,4.8471705982,10.823151602400001,4.5157846428,8.1992108066,-3.6535915847666667,-4.0680082929,-3.5907617926333333,-3.0518992045333335,-1.7535516814666667,-3.3708103092666666
2023-12-21 18:00,-8.448333333333332,60.0,31.301463674666664,29.338481464999997,31.420068915333335,27.010035403333333,,18.060713522333334,28.363503658666666,,9.893476216033333,8.603764261866667,17.711596340666667,3.9008380154333335,4.0465001422333335,3.577102073233333,3.3133600877333333,1.8274898137333333,3.739903827,2.4362757806333333,0.7573870372000001,,2.906349619333333,-0.29568861766666665,,,,-4.4621870326333335,-3.6609897024999998,-4.498827423,-4.7688049324,32.66599468,34.01477987566667,40.473478185333335,30.334957144999997,24.998720047666666,23.844078299333333,29.753323359,,14.091841558999999,12.361215865899998,18.703378548666667,5.693067022566667,8.8139714337,3.331539800033333,8.923620003866667,2.5194371743666664,2.4139977620333335,,5.773458827666667,2.6201719212666665,7.555745662866667,1.2233257797666668,6.8470070322,,,-4.500228262199999,-3.4698017089666666,-4.3697265583333325,-4.5118818004,32.714292345333334,34.539246031,42.661017787333336,30.494644678666663,28.224070953333335,25.912914978333333,30.682449818333332,,17.733273511,11.444640395366667,19.698104876000002,6.819173172099999,8.856163550233333,6.007112411366666,4.207416796033333,4.909251951933333,4.541235003033334,6.1621166951,8.753328547299999,4.0062606801000005,10.033146316033333,3.784805298233333,7.4197802247,-4.2366696675,-4.683857228366667,-4.072964589566667,-3.5506493167666666,-2.0463231989,-3.9004958824
2023-12-21 19:00,-8.741666666666667,61.93333333333333,30.103104487666666,28.339037956000002,29.856114144333333,25.606475188333334,,16.247932517,26.985144318333333,,8.6342425954,6.882001461933333,16.588909568000002,2.3974220083,2.7161289942,2.3773057648666667,2.4421897734,0.6181927765333334,2.618726683933333,1.4141507987333335,-0.16489832529999998,,1.7302517169,-1.4123018445666666,,,,-5.026838683533333,-4.239045671766666,-4.9940902004,-5.378339450433333,31.510733711666667,32.82499584966667,39.051991494333336,28.835960478333334,23.725935312333334,22.588816354333336,28.426601278,,12.699601219,11.0928400814,17.466486203333332,4.076231429133333,7.345805934666667,2.0860021703666667,7.820574972566666,1.0314159189666667,1.3751296776666666,,4.307994182233333,1.4719005651666668,6.3098310672333335,0.2345890973666667,5.846876687166667,,,-5.091972767200001,-4.0660462603,-4.8039453488,-5.0749162967,31.442095387,33.325839949333336,41.17937889933333,29.039374609333333,27.314157329333334,24.630013245,29.332602461666667,,16.503606007,10.1556498584,18.435649979333334,5.539257402966666,7.808948789466667,4.814591863533334,3.9794765201666666,3.543746095666667,3.3685261115333334,4.686034034866666,7.565121607066667,2.8056762854999997,8.8633626065,2.8313096305666665,6.3874225187333336,-5.125401813466667,-5.133706860566666,-4.728555942533333,-4.1854226133,-2.3558353588666665,-4.454864951766667
2023-12-21 20:00,-9.048333333333334,64.0,31.258874628,29.634647362333332,31.769085687333334,27.477675014,,17.480382503999998,28.52247648566667,,9.716031984566666,7.610694071566667,16.929323571666668,3.3364637944999997,2.6937793792,2.2296821865,2.082164812633333,0.5547685476666667,2.1224303472,1.0038372828666666,-1.2378707427,,1.9215682627333335,-1.6840329587333334,,,,-5.755126882033333,-4.8674486286333325,-5.597414237033333,-5.910470261033334,32.60475191133334,33.85227822266667,40.65346316866667,30.638465132666667,25.161640106333333,23.58867169566667,29.80325494266667,,13.707295223333334,12.210812748666665,17.940388426333335,4.8813376452,7.397256184933334,2.0746086343,8.0957925247,1.2358819596333332,0.8543694778333334,,3.4724714271666666,1.1998762391666666,6.140900139866667,-0.05803907843333333,5.4703199602,,,-5.853381824133334,-4.7297724618,-5.4130362889666666,-5.682961795133334,32.516372616666665,34.267524489,42.81298141833334,30.536250262,28.467649802333334,25.901938620333333,30.666681337333333,,17.075700819666668,11.143255483666668,18.937147379333336,6.065271236933333,7.7763575750000005,4.788506585266666,3.6071384709,3.4594856305333335,3.0495432880999997,4.7578747901,7.256768331366667,2.4657344963666663,8.486833733100001,2.3029999879000003,5.973766011866667,-5.9638931389000005,-5.7138213254000005,-5.4443059693,-4.884094574633334,-2.7239225324,-5.092706803766666
2023-12-21 21:00,-9.148333333333333,64.0,31.990683440333335,30.199899459,32.841363728333334,28.171827219,,18.27489981333333,29.20190445533333,,10.178817301799999,8.330766884433334,17.127593893999997,3.7987025592999997,3.0840631463999997,2.341244517033333,2.2938987516,0.8980331774666667,2.1937933526333335,1.0166625158333333,-1.0984272572333333,,2.2808824788999997,-1.5146166312333333,,,,-6.0631223316,-5.126624052733334,-6.017680443900001,-6.195275961899999,33.230439362333335,34.44559897133333,41.446052779,31.427195222333335,25.713154859333333,24.181971299333334,30.408710524666667,,14.337499634666667,12.272463069,18.228512003666665,5.416581571533333,7.923581523899999,2.1918457261333333,8.273054231133333,1.7667835794,0.8791404714666666,,3.9301030318666665,1.4398484234333333,6.2723688592333335,-0.009283886133333334,5.4831733303000005,,,-6.117840024766666,-4.9739135293666665,-5.694363907666667,-5.9967330174,33.099993196999996,34.865256435999996,43.58838576666667,31.337691037,28.959219449666666,26.486568999333333,31.25454677,,17.565606425333332,11.496257691666667,19.205916544333334,6.434083704033333,7.9637611248,4.876455775166666,3.4127302460333335,3.955720990266667,3.328030725866667,5.1098845012666665,7.4013191097333335,2.6614041443666667,8.6377556813,2.2243093602000004,6.032701392733333,-6.1726916412,-6.1618031551,-5.7071516489,-5.1302117835333325,-2.9329225628,-5.3960023608666665
2023-12-21 22:00,-9.248333333333333,64.0,32.081978797333335,30.283833179,32.18092783066667,28.105054489,,18.104984093666666,29.157421590000002,,9.9765352081,8.186228166566668,16.985490994333333,3.6828497249333334,2.8771482343,2.1551182397999997,2.0574193919333337,0.7947425448,2.0176921639333334,0.771542332,-1.5040730808666667,,2.044189133266667,-1.6243363266000002,,,,-6.350669070433333,-5.425987568133333,-6.380808776433333,-6.532928553966667,33.340418642,34.54059194733334,41.33327342033333,31.459315111333336,25.594262862666668,24.153128279666664,30.353018465666665,,14.236611471333333,12.165197868,18.06897062066667,5.3228680049,7.712575582333333,2.0314930552666666,8.0741578304,1.691264452,0.6894121190333333,,3.6213816663333334,1.3338722308333333,6.0832167919,-0.14355785199999999,5.294916344433333,,,-6.420098518900001,-5.278171955333334,-6.0447539094,-6.335756548366667,33.21555981066667,34.94873307133333,43.53259236266667,31.34646603266667,28.833581141333333,26.444525904,31.177411208333336,,17.480704563333333,11.485695581666667,19.063645969,6.3275880357666665,7.909534332000001,4.740033617733333,3.2594374925,3.8478760495333333,3.1877566471999996,5.005239445166667,7.223193559333334,2.4478006350666663,8.4322836566,1.9698439609333334,5.834105522933333,-6.486534522066666,-6.553311524333334,-6.016271156733334,-5.451663797699999,-3.157133147466667,-5.6980505325
